Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
01-05-2015,289,2776,0,10030,0,0,0,0,0,1786,0,2977,0,0,0,0,0
01-04-2015,288,2775,0,9780,0,0,0,0,0,1781,0,2943,0,0,0,0,0
01-03-2015,287,2769,8166,9722,0,0,0,0,0,1767,3496,2915,0,0,0,0,0
01-02-2015,286,0,8157,0,0,0,0,0,0,0,3496,0,0,0,0,0,0
12/31/2014,284,2730,8115,9633,0,0,0,0,0,1739,3471,2827,0,0,0,0,0
12/28/2014,281,2706,8018,9446,0,0,0,0,0,1708,3423,2758,0,0,0,0,0
12/27/2014,280,2695,0,9409,0,0,0,0,0,1697,0,2732,0,0,0,0,0
12/24/2014,277,2630,7977,9203,0,0,0,0,0,0,3413,2655,0,0,0,0,0
12/21/2014,273,2597,0,9004,0,0,0,0,0,1607,0,2582,0,0,0,0,0
12/20/2014,272,2571,7862,8939,0,0,0,0,0,1586,3384,2556,0,0,0,0,0
12/18/2014,271,0,7830,0,0,0,0,0,0,0,3376,0,0,0,0,0,0
12/14/2014,267,2416,0,8356,0,0,0,0,0,1525,0,2085,0,0,0,0,0
12-09-2014,262,0,7797,0,0,0,0,0,0,0,3290,0,0,0,0,0,0
12-07-2014,260,2292,0,7897,20,1,4,1,7,1428,0,1768,8,0,1,0,6
12-03-2014,256,0,7719,0,0,0,0,0,0,0,3177,0,0,0,0,0,0
11/30/2014,253,2164,0,7312,20,1,4,1,7,1327,0,1583,8,0,1,0,6
11/28/2014,251,0,7635,0,0,0,0,0,0,0,3145,0,0,0,0,0,0
11/23/2014,246,2134,0,6599,20,1,4,1,7,1260,0,1398,8,0,1,0,6
11/22/2014,245,0,7168,0,0,0,0,0,0,0,3016,0,0,0,0,0,0
11/18/2014,241,2047,7082,6190,20,1,4,1,6,1214,2963,1267,8,0,1,0,6
11/16/2014,239,1971,0,6073,20,1,4,1,5,1192,0,1250,8,0,1,0,5
11/15/2014,238,0,7069,0,0,0,0,0,0,0,2964,0,0,0,0,0,0
11-11-2014,234,1919,0,5586,20,1,4,1,4,1166,0,1187,8,0,1,0,3
11-10-2014,233,0,6878,0,0,0,0,0,0,0,2812,0,0,0,0,0,0
11-09-2014,232,1878,0,5368,20,1,4,1,1,1142,0,1169,8,0,1,0,1
11-08-2014,231,0,6822,0,0,0,0,0,0,0,2836,0,0,0,0,0,0
11-04-2014,227,0,6619,4862,20,1,4,1,1,0,2766,1130,8,0,1,0,1
11-03-2014,226,1760,0,0,0,0,0,0,0,1054,0,0,0,0,0,0,0
11-02-2014,225,1731,0,4759,20,1,4,1,1,1041,0,1070,8,0,1,0,1
10/31/2014,222,0,6525,0,0,0,0,0,0,0,2697,0,0,0,0,0,0
10/29/2014,220,1667,0,5338,20,1,4,1,1,1018,0,1510,8,0,1,0,1
10/27/2014,218,1906,0,5235,20,1,4,1,1,997,0,1500,8,0,1,0,1
10/25/2014,216,0,6535,0,0,0,0,0,0,0,2413,0,0,0,0,0,0
10/22/2014,214,0,0,3896,0,0,4,1,1,0,0,1281,0,0,1,0,1
10/21/2014,213,1553,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0
10/19/2014,211,1540,0,3706,20,1,3,1,0,904,0,1259,8,0,1,0,0
10/18/2014,210,0,4665,0,0,0,0,0,0,0,2705,0,0,0,0,0,0
10/14/2014,206,1519,0,3410,20,1,3,1,0,862,0,1200,8,0,0,1,0
10/13/2014,205,0,4262,0,0,0,0,0,0,0,2484,0,0,0,0,0,0
10-12-2014,204,1472,0,3252,20,1,2,1,0,843,0,1183,8,0,1,1,0
10-11-2014,203,0,4249,0,0,0,0,0,0,0,2458,0,0,0,0,0,0
10-08-2014,200,0,0,2950,20,1,1,1,0,0,0,930,8,0,1,1,0
10-07-2014,199,1350,4076,0,0,0,0,0,0,778,2316,0,0,0,0,0,0
10-05-2014,197,1298,0,2789,20,1,1,0,0,768,0,879,8,0,0,0,0
10-04-2014,196,0,3924,0,0,0,0,0,0,0,2210,0,0,0,0,0,0
10-01-2014,193,1199,3834,2437,20,1,1,0,0,739,2069,623,8,0,0,0,0
9/28/2014,190,1157,3696,2304,20,1,0,0,0,710,1998,622,8,0,0,0,0
9/23/2014,185,1074,3458,2021,20,1,0,0,0,648,1830,605,8,0,0,0,0
9/21/2014,183,1022,3280,1940,20,1,0,0,0,635,1677,597,8,0,0,0,0
9/20/2014,182,0,0,1813,0,0,0,0,0,0,0,593,0,0,0,0,0
9/19/2014,181,1008,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0
9/17/2014,179,0,3022,0,0,0,0,0,0,0,1578,0,0,0,0,0,0
9/14/2014,176,942,2710,1673,0,0,0,0,0,601,1459,562,0,0,0,0,0
9/13/2014,175,936,0,1620,21,1,0,0,0,595,1296,562,8,0,0,0,0
09-10-2014,172,899,0,1478,21,1,0,0,0,568,0,536,8,0,0,0,0
09-09-2014,171,0,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-07-2014,169,861,2081,1424,21,3,0,0,0,557,1137,524,8,0,0,0,0
09-05-2014,167,812,1871,1261,22,1,0,0,0,517,1089,491,8,0,0,0,0
8/31/2014,162,771,1698,1216,21,1,0,0,0,494,871,476,7,0,0,0,0
8/26/2014,157,648,1378,1026,17,0,0,0,0,430,694,422,6,0,0,0,0
8/20/2014,151,607,1082,910,16,0,0,0,0,406,624,392,5,0,0,0,0
8/18/2014,149,579,972,907,15,0,0,0,0,396,576,374,4,0,0,0,0
8/16/2014,147,543,834,848,15,0,0,0,0,394,466,365,4,0,0,0,0
8/13/2014,144,519,786,810,12,0,0,0,0,380,413,348,4,0,0,0,0
08-11-2014,142,510,670,783,12,0,0,0,0,377,355,334,3,0,0,0,0
08-09-2014,140,506,599,730,13,0,0,0,0,373,323,315,2,0,0,0,0
08-06-2014,137,495,554,717,13,0,0,0,0,367,294,298,2,0,0,0,0
08-04-2014,135,495,516,691,9,0,0,0,0,363,282,286,1,0,0,0,0
08-01-2014,132,485,468,646,4,0,0,0,0,358,255,273,1,0,0,0,0
7/30/2014,129,472,391,574,3,0,0,0,0,346,227,252,1,0,0,0,0
7/27/2014,126,460,329,533,1,0,0,0,0,339,156,233,1,0,0,0,0
7/23/2014,123,427,249,525,0,0,0,0,0,319,129,224,0,0,0,0,0
7/20/2014,120,415,224,454,0,0,0,0,0,314,127,219,0,0,0,0,0
7/17/2014,117,410,196,442,0,0,0,0,0,310,116,206,0,0,0,0,0
7/14/2014,114,411,174,397,0,0,0,0,0,310,106,197,0,0,0,0,0
07-12-2014,112,406,172,386,0,0,0,0,0,304,105,194,0,0,0,0,0
07-08-2014,108,409,142,337,0,0,0,0,0,309,88,142,0,0,0,0,0
07-06-2014,106,408,131,305,0,0,0,0,0,307,84,127,0,0,0,0,0
07-02-2014,102,412,115,252,0,0,0,0,0,305,75,101,0,0,0,0,0
6/30/2014,100,413,107,239,0,0,0,0,0,303,65,99,0,0,0,0,0
6/22/2014,92,0,51,0,0,0,0,0,0,0,34,0,0,0,0,0,0
6/20/2014,90,390,0,158,0,0,0,0,0,270,0,34,0,0,0,0,0
6/19/2014,89,0,41,0,0,0,0,0,0,0,25,0,0,0,0,0,0
6/18/2014,88,390,0,136,0,0,0,0,0,267,0,28,0,0,0,0,0
6/17/2014,87,0,0,97,0,0,0,0,0,0,0,49,0,0,0,0,0
6/16/2014,86,398,33,0,0,0,0,0,0,264,24,0,0,0,0,0,0
06-10-2014,80,351,13,89,0,0,0,0,0,226,24,7,0,0,0,0,0
06-05-2014,75,0,13,81,0,0,0,0,0,0,0,6,0,0,0,0,0
06-03-2014,73,344,13,0,0,0,0,0,0,215,12,6,0,0,0,0,0
06-01-2014,71,328,13,79,0,0,0,0,0,208,12,6,0,0,0,0,0
5/28/2014,67,291,13,50,0,0,0,0,0,193,12,6,0,0,0,0,0
5/27/2014,66,281,12,16,0,0,0,0,0,186,11,5,0,0,0,0,0
5/23/2014,62,258,12,0,0,0,0,0,0,174,11,0,0,0,0,0,0
05-12-2014,51,248,12,0,0,0,0,0,0,171,11,0,0,0,0,0,0
05-10-2014,49,233,12,0,0,0,0,0,0,157,11,0,0,0,0,0,0
05-07-2014,46,236,13,0,0,0,0,0,0,158,11,0,0,0,0,0,0
05-05-2014,44,235,13,0,0,0,0,0,0,157,11,0,0,0,0,0,0
05-03-2014,42,231,13,0,0,0,0,0,0,155,11,0,0,0,0,0,0
05-01-2014,40,226,13,0,0,0,0,0,0,149,11,0,0,0,0,0,0
4/26/2014,35,224,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0
4/24/2014,33,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/23/2014,32,218,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0
4/22/2014,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/21/2014,30,0,34,0,0,0,0,0,0,0,11,0,0,0,0,0,0
4/20/2014,29,208,0,0,0,0,0,0,0,136,6,0,0,0,0,0,0
4/17/2014,26,203,27,0,0,0,0,0,0,129,0,0,0,0,0,0,0
4/16/2014,25,197,27,0,0,0,0,0,0,122,13,0,0,0,0,0,0
4/15/2014,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/2014,23,168,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
04-11-2014,20,159,26,2,0,0,0,0,0,106,13,2,0,0,0,0,0
04-09-2014,18,158,25,2,0,0,0,0,0,101,12,2,0,0,0,0,0
04-07-2014,16,151,21,2,0,0,0,0,0,95,10,2,0,0,0,0,0
04-04-2014,13,143,18,2,0,0,0,0,0,86,7,2,0,0,0,0,0
04-01-2014,10,127,8,2,0,0,0,0,0,83,5,2,0,0,0,0,0
3/31/2014,9,122,8,2,0,0,0,0,0,80,4,2,0,0,0,0,0
3/29/2014,7,112,7,0,0,0,0,0,0,70,2,0,0,0,0,0,0
3/28/2014,6,112,3,2,0,0,0,0,0,70,3,2,0,0,0,0,0
3/27/2014,5,103,8,6,0,0,0,0,0,66,6,5,0,0,0,0,0
3/26/2014,4,86,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
3/25/2014,3,86,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
3/24/2014,2,86,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
3/22/2014,0,49,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
